,review_id,star_rating,text_original
3946,R2N7I2KR88OY92,5,"Best tuner I've had in years I tried two different Snark tuners, and they were not very accurate.  I gave them away.  This little tuner has worked very well for me for the past year; it's small and can stay on the neck of my mandolin and can tune either by vibration or sound, and is quite accurate.  Very good tuner IMO."
5867,R3BSS26R5BNC6Z,4,making music My grandson is really enjoying the 16 inch cymbal.  He and his brother have performed several times with it since Christmas.
4694,R378R6T3HCSRKO,5,"Great quality, quite small and unobtrusive Using on a desk for web meetings. Great quality, quite small and unobtrusive. Captures nearby audio very clearly, minimal echo/ambient noise. Not good for a large room unless you have multiple (and an audio mixer or the ability to use multiple sources with your software)."
7883,RMWW74Y80DPQD,5,Five Stars I have a couple of these I used outside for Christmas. It was the talk of the neighborhood.
5117,R1JHO708DYSY3S,1,"Waste of money and time, do NOT buy! I am returning this viola. All you get would be all kinds of problems. Not playable at all, don't waste your money and time!"
3544,RU6CMJBVX3SUT,1,"you will get cheap cable I'm not sure if my Fender branded cable is same as this one but mine, which cost about the same, died a couple days ago after about 6 month of intermittent use ... when I cut the cable where it flexed the most to see I was shocked to find there was exactly 5 strands of copper inside. 5 strands of thin copper ... I know copper is expensive these days but when you pay $10+ for a cable you expect a little more. For a legendary brand like Fender I certainly expect more than some no name cheap brand. I will not look at Fender the same way ever again ..."
1775,R3216P24L5NH5Q,5,The best This is the best delay pedal in the market. Period.
1330,R1FQ4JM1P4ZQH5,5,Five Stars Nice item for the price
828,R30XGQLR3FZVHS,5,"Excellent product, great value A nifty device, perfect suitable for condenser microphones with around 4.0-4.5cm diameter. Looks great, padded spring loaded clip to hold microphone firmly."
3204,R39HFTB2S5DJW8,4,"Fun, but not for recording. The DD9M is a great machine.  It's internal speaker is a bit quiet, but  once hooked up to an external amp or headphones it sounds nice.  The  drumpads are a bit small, but you'll manage.  It is easy to use, but of  course it is no replacement for an acual set of drums.  Some of the  instruments, such as a cowbell, horn, etc. are fun and sound great.  It's  extremely good at making fun rythyms and for beginners to learn how to keep  a beat.  I would not suggest it for recording studio levels, but for any  home use/personal recording its great.  It also doubles as a metronome  which can be useful."
