,product_id,dominant_topic,sentiment_pred,count
0,B000065BPB,0,negative,2
1,B000065BPB,0,neutral,3
2,B000065BPB,0,positive,7
3,B000065BPB,2,positive,1
4,B000065BPB,3,positive,1
5,B000065BPB,5,neutral,1
6,B000065BPB,5,positive,2
7,B000065BPB,6,neutral,1
8,B000065BPB,6,positive,2
9,B000065BPB,8,positive,3
10,B000ULAP4U,0,negative,2
11,B000ULAP4U,0,neutral,4
12,B000ULAP4U,0,positive,17
13,B000ULAP4U,3,neutral,1
14,B000ULAP4U,5,positive,1
15,B000ULAP4U,6,positive,2
16,B003VWJ2K8,0,positive,2
17,B003VWJ2K8,1,neutral,1
18,B003VWJ2K8,1,positive,1
19,B003VWJ2K8,2,negative,4
20,B003VWJ2K8,2,positive,4
21,B003VWJ2K8,3,positive,4
22,B003VWJ2K8,4,negative,1
23,B003VWJ2K8,4,positive,7
24,B003VWJ2K8,5,positive,1
25,B003VWJ2K8,6,positive,1
26,B003VWJ2K8,8,positive,2
27,B003VWJ2K8,9,positive,1
