,review_id,product_id,star_rating,sentiment_pred,dominant_topic,dominant_topic_score
0,R2K6ELV08ZSTZA,B000TZVBDQ,5,positive,2,0.18695998815403855
1,RC29WHMRFT68I,B000ULAP4U,5,positive,0,0.03587794453555481
2,RLWXYOESSZQDF,B009MDMQJ4,5,positive,6,0.18704471164240105
3,RBSFRTPFZ3ZJF,B003WG2WXM,1,negative,0,0.034177862124995996
4,R4YVLYBNEY219,B007PRX8TQ,5,positive,1,0.08014884503897321
5,R27Y39JSRGCC2,B001CQ8VJS,4,positive,1,0.05742043954656694
6,RQ41UZA0QMYAJ,B008TO3P6U,1,negative,8,0.09277219784269608
7,R2UO47OJOFINS8,B005M3BQBW,5,positive,8,0.0665103958230245
8,RJFH2UIHJU4KW,B0002E539C,3,neutral,6,0.02759026421484627
9,R2DDRM815SFGCX,B005KPDRKA,5,positive,4,0.07130825797397405
10,R1ONHP60YPYEDS,B0002KX0DC,4,neutral,0,0.021358082342545718
11,RIDMJK5SBQR9I,B003A71O0A,5,positive,7,0.07965164405677382
12,R1RZRRW5T9A0QV,B0002AGMBY,5,positive,8,0.05235664551909096
13,RPRS53B17LSU2,B000LIEPDE,5,positive,6,0.07773701322204524
14,R144Z7G4R8UHLV,B000R0ARQU,5,positive,4,0.0947502344098324
15,R2OQDA7CS9E8SJ,B00KGKBEKO,5,positive,2,0.046386175088583954
16,R2IRJUDPYKGUOD,B000NJ2TIE,5,positive,9,0.07945965733240694
17,R2AA41VYLB35OX,B00000J50W,4,positive,8,0.0977577638319361
18,RFOK11XFE2IME,B008CVDSV2,3,neutral,4,0.08761614857511546
19,RKURXJUW1F11I,B000WE0E7S,5,positive,6,0.041593320898046085
20,R2F6R6NALTI5Z2,B0002Z82XA,5,positive,3,0.14292927329525335
21,R2ZH0BL9NYOPDX,B0002E1UDK,5,positive,4,0.12677628696353066
22,R2ADEPKZJF2VRF,B00NKN3826,5,positive,3,0.1026178135244222
23,R3GDD75GBM3VK8,B007EYG04A,5,positive,2,0.05619919744309854
24,R2EQBFENIZL70W,B000EEJ73I,3,neutral,9,0.08010122747453714
25,R8ETOC48448SX,B003B0CH5C,5,positive,7,0.06886695939235091
26,R18FU18UPP8NR4,B0029L7KRY,3,neutral,2,0.041643509994626716
27,RN997NS75Q7IF,B00EZ0F3TO,5,positive,5,0.06988904406438083
28,R3OFMN2CA899XA,B005FSLI80,5,positive,9,0.04367489441132382
29,R3KK1Y4D2VGVTW,B0091YILRK,4,negative,2,0.02364886850857553
30,R1XZBX1OZPICIZ,B003YTE7H6,4,positive,9,0.04685477947887737
31,R3GMGIALXRD503,B0002GL7ZO,4,positive,6,0.11187439710585148
32,R94F00UPI55W2,B001OCGGEM,5,negative,3,0.03285102434358743
33,R9XRQK1SMVXD0,B000K6B2DI,5,positive,2,0.12367852838251747
34,R36YOAZUFFG8E0,B006QZT0KE,5,positive,3,0.033407747585896
35,R3DUG8T8AR321D,B005FKF1PY,3,neutral,2,0.027381785055938256
36,R1760MS09UZP4K,B000GFPKAO,5,positive,5,0.12271038776272881
37,R1S7KFBW66REG7,B00L1E6NR8,1,negative,2,0.034590839521292514
38,R3SBR4C32VUTCX,B001LU1SFO,5,positive,4,0.04062484078782507
39,R2ABTPT4YYEXD1,B00006675Q,5,positive,8,0.0733379578515953
40,R30AG18UP716UX,B006KSM7ZM,5,positive,0,0.03613143217571997
41,R16WLPG8LSL250,B003FO89CE,5,positive,5,0.06616627972916629
42,R2QJ7ZO9ARR4ED,B000978EIO,5,positive,2,0.09950758931184539
43,R2G6IGY3VNUB18,B004XNK7AI,5,positive,4,0.09282938118863512
44,R2DOR52YNZL240,B007WCJVH2,3,neutral,3,0.08741731472548524
45,R1BV1TIDN4XO9D,B00V7WX10Q,5,positive,8,0.1283461014745721
46,R2B6HCWFB90AZE,B000BO4H5Y,5,positive,8,0.07574873965230224
47,R3SLD5HR0Y3NGE,B006I37XDK,5,neutral,6,0.16411457987420783
48,R2ISA3NV0XMCEZ,B004L772GI,5,positive,7,0.10387316592286203
49,RG741NKO9GSZT,B000065BP9,5,positive,0,0.0425621896049049
50,R1H68Z01JK5TBJ,B00DCXZY1W,5,positive,0,0.08137316924827119
51,R172QPIXMH9HBX,B00H7UPPNI,5,positive,4,0.0721973680630661
52,RLPHDWKR1XYVF,B000OVABBS,4,positive,8,0.050190920785292616
53,R5EFABYARUJOZ,B001SK06SC,2,negative,6,0.03494403321991155
54,R224XKYBZ2E6Y9,B003A7GM20,5,positive,0,0.01691138044111675
55,R2OGYU9XBVLKGA,B0002D0FXW,5,positive,6,0.04607691951851291
56,R21RKB7U4T7E20,B00074IITO,5,positive,4,0.06474018463785736
57,R27Q5E8VSKIODX,B000EEHG7C,5,positive,4,0.08045124869291255
