dominant_topic,negative,neutral,positive,total,negative_pct,positive_pct
0,428,312,1087,1827,0.23426382047071703,0.5949644225506294
1,147,92,375,614,0.23941368078175895,0.6107491856677525
2,156,99,569,824,0.18932038834951456,0.6905339805825242
3,49,35,700,784,0.0625,0.8928571428571429
4,94,79,658,831,0.11311672683513839,0.7918170878459687
5,50,94,624,768,0.06510416666666667,0.8125
6,135,123,764,1022,0.13209393346379647,0.7475538160469667
7,51,61,357,469,0.10874200426439233,0.7611940298507462
8,34,29,779,842,0.040380047505938245,0.9251781472684085
9,140,122,428,690,0.2028985507246377,0.6202898550724638
