,review_month,dominant_topic,sentiment_pred,count,share
0,2000-08-01,0,positive,1,1.0
1,2001-02-01,0,positive,1,1.0
2,2001-12-01,6,neutral,1,1.0
3,2002-10-01,0,positive,1,1.0
4,2003-05-01,0,neutral,1,1.0
5,2003-12-01,0,neutral,1,0.5
6,2003-12-01,0,positive,1,0.5
7,2004-08-01,6,negative,1,1.0
8,2004-09-01,4,positive,1,1.0
9,2004-09-01,8,positive,1,1.0
10,2004-10-01,0,neutral,1,1.0
11,2004-11-01,0,negative,1,1.0
12,2004-12-01,8,positive,1,1.0
13,2005-01-01,0,positive,1,1.0
14,2005-01-01,4,positive,1,1.0
15,2005-02-01,0,negative,1,1.0
16,2005-02-01,4,positive,1,1.0
17,2005-02-01,8,positive,1,1.0
18,2005-04-01,0,positive,1,1.0
19,2005-05-01,6,positive,1,1.0
20,2005-07-01,8,positive,1,1.0
21,2005-08-01,0,positive,2,1.0
22,2005-10-01,0,negative,1,1.0
23,2005-12-01,0,positive,1,1.0
24,2006-01-01,0,positive,1,1.0
25,2006-02-01,0,positive,1,1.0
26,2006-02-01,6,positive,1,1.0
27,2006-05-01,0,positive,2,1.0
28,2006-05-01,4,negative,1,1.0
29,2006-07-01,0,neutral,1,1.0
30,2006-08-01,0,neutral,1,1.0
31,2006-08-01,2,negative,2,1.0
32,2006-08-01,4,positive,1,1.0
33,2006-08-01,8,positive,1,1.0
34,2006-11-01,8,positive,1,1.0
35,2006-12-01,0,neutral,1,0.5
36,2006-12-01,0,positive,1,0.5
37,2006-12-01,4,positive,1,1.0
38,2006-12-01,8,negative,1,1.0
39,2007-01-01,0,neutral,2,0.5
40,2007-01-01,0,positive,2,0.5
41,2007-01-01,2,positive,2,1.0
42,2007-01-01,4,negative,1,0.5
43,2007-01-01,4,positive,1,0.5
44,2007-01-01,8,positive,4,1.0
45,2007-02-01,0,positive,2,1.0
46,2007-02-01,4,negative,1,1.0
47,2007-03-01,0,negative,3,0.6
48,2007-03-01,0,positive,2,0.4
49,2007-03-01,4,negative,1,0.5
50,2007-03-01,4,positive,1,0.5
51,2007-03-01,6,positive,1,1.0
52,2007-03-01,8,positive,2,1.0
53,2007-04-01,4,positive,1,1.0
54,2007-04-01,8,positive,1,1.0
55,2007-05-01,0,negative,1,0.3333333333333333
56,2007-05-01,0,positive,2,0.6666666666666666
57,2007-06-01,0,negative,1,0.3333333333333333
58,2007-06-01,0,positive,2,0.6666666666666666
59,2007-06-01,4,neutral,1,1.0
60,2007-07-01,8,positive,1,1.0
61,2007-08-01,0,negative,1,0.3333333333333333
62,2007-08-01,0,neutral,1,0.3333333333333333
63,2007-08-01,0,positive,1,0.3333333333333333
64,2007-08-01,2,positive,1,1.0
65,2007-09-01,4,positive,2,1.0
66,2007-09-01,6,positive,1,1.0
67,2007-09-01,8,positive,1,1.0
68,2007-10-01,0,positive,1,1.0
69,2007-10-01,8,positive,1,1.0
70,2007-11-01,0,positive,1,1.0
71,2007-11-01,6,positive,1,1.0
72,2007-12-01,0,neutral,1,0.3333333333333333
73,2007-12-01,0,positive,2,0.6666666666666666
74,2007-12-01,4,positive,1,1.0
75,2007-12-01,6,negative,1,1.0
76,2008-01-01,0,positive,3,1.0
77,2008-01-01,6,negative,1,1.0
78,2008-01-01,8,positive,1,1.0
79,2008-02-01,0,positive,3,1.0
80,2008-03-01,0,neutral,1,0.25
81,2008-03-01,0,positive,3,0.75
82,2008-04-01,0,negative,2,0.6666666666666666
83,2008-04-01,0,positive,1,0.3333333333333333
84,2008-04-01,2,positive,2,1.0
85,2008-05-01,6,positive,1,1.0
86,2008-06-01,0,negative,1,0.2
87,2008-06-01,0,neutral,1,0.2
88,2008-06-01,0,positive,3,0.6
89,2008-06-01,2,positive,1,1.0
90,2008-06-01,4,positive,1,1.0
91,2008-07-01,0,positive,1,1.0
92,2008-07-01,4,positive,1,1.0
93,2008-08-01,0,positive,1,1.0
94,2008-08-01,2,positive,1,1.0
95,2008-08-01,4,positive,2,1.0
96,2008-08-01,6,positive,1,1.0
97,2008-08-01,8,positive,1,1.0
98,2008-09-01,0,negative,1,0.25
99,2008-09-01,0,neutral,1,0.25
100,2008-09-01,0,positive,2,0.5
101,2008-09-01,2,negative,1,1.0
102,2008-10-01,0,negative,2,0.3333333333333333
103,2008-10-01,0,neutral,1,0.16666666666666666
104,2008-10-01,0,positive,3,0.5
105,2008-10-01,4,positive,2,1.0
106,2008-10-01,6,positive,1,1.0
107,2008-11-01,0,neutral,1,0.3333333333333333
108,2008-11-01,0,positive,2,0.6666666666666666
109,2008-12-01,0,negative,1,0.5
110,2008-12-01,0,positive,1,0.5
111,2008-12-01,2,positive,1,1.0
112,2008-12-01,4,negative,1,0.5
113,2008-12-01,4,positive,1,0.5
114,2008-12-01,8,neutral,1,1.0
115,2009-01-01,0,neutral,1,0.3333333333333333
116,2009-01-01,0,positive,2,0.6666666666666666
117,2009-01-01,4,neutral,1,0.3333333333333333
118,2009-01-01,4,positive,2,0.6666666666666666
119,2009-01-01,8,positive,1,1.0
120,2009-02-01,0,positive,4,1.0
121,2009-02-01,2,positive,1,1.0
122,2009-02-01,4,positive,3,1.0
123,2009-02-01,6,positive,2,1.0
124,2009-02-01,8,positive,2,1.0
125,2009-03-01,0,negative,1,0.25
126,2009-03-01,0,positive,3,0.75
127,2009-03-01,4,negative,1,0.25
128,2009-03-01,4,positive,3,0.75
129,2009-03-01,6,positive,1,1.0
130,2009-03-01,8,positive,1,1.0
131,2009-04-01,0,negative,2,0.4
132,2009-04-01,0,neutral,1,0.2
133,2009-04-01,0,positive,2,0.4
134,2009-04-01,4,positive,1,1.0
135,2009-04-01,6,positive,2,1.0
136,2009-04-01,8,positive,1,1.0
137,2009-05-01,0,positive,1,1.0
138,2009-05-01,2,positive,1,1.0
139,2009-05-01,6,neutral,1,1.0
140,2009-06-01,0,negative,2,0.6666666666666666
141,2009-06-01,0,positive,1,0.3333333333333333
